CUST_NAME,ECU_NAME,EVENT_ID,EVENT_NOTIFICATION_ID,EVENT_TYPE,FMI,FMT_TEXT,LATITUDE,LONGITUDE,MFG_RLSE_DATE,ODO_READING,SA,SPN,SPN_TEXT,TIME_STAMP,VIN_CD_DESC,VIN_NO,WITHIN_GEO_FENCE_LIMIT,Number of Records
RG_Corp12,J1939_42,17543359,18180518,2,12,Bad intelligent device or component,45.6123195,-122.7626163,,14027,42,516500,Undocumented SPN: 516500,1/20/2014 5:38,Cascadia 125” Sleepercab,FRCE300QQQQQQQQQQ,N,1
RG_Corp12,J1939_42,17543360,18180522,2,12,Bad intelligent device or component,45.6123195,-122.7626163,,14027,42,516501,Undocumented SPN: 516501,1/20/2014 5:38,Cascadia 125” Sleepercab,FRCE300QQQQQQQQQQ,N,1
RG_Corp12,J1939_42,17543358,18180521,2,19,Received Network Data In Error,45.6123195,-122.7626163,,14027,42,5606,Adaptive Cruise Control Readiness Status,1/20/2014 5:38,Cascadia 125” Sleepercab,FRCE300QQQQQQQQQQ,N,1
RG_Corp12,J1939_160,17564931,18203020,2,19,Received Network Data In Error,45.560313,-122.7027475,,16770,160,523,Transmission Current Gear,1/20/2014 12:59,Cascadia 125” Sleepercab,FRCE308QQQQQQQQQQ,N,1
RG_Corp12,J1939_42,17567240,18205410,2,19,Received Network Data In Error,45.559677,-122.7026663,,14154,42,560,Transmission Driveline Engaged,1/20/2014 13:52,Cascadia 125” Sleepercab,FRCE300QQQQQQQQQQ,Y,1
RG_Corp12,J1939_160,17619567,18260838,2,19,Received Network Data In Error,45.4470334,-122.5786912,,17284,160,523,Transmission Current Gear,1/21/2014 13:30,Cascadia 125” Sleepercab,FRCE308QQQQQQQQQQ,N,1
RG_Corp12,J1939_42,17622664,18264114,2,9,Abnormal update rate,45.558147,-122.7017808,,4880,42,513,Actual Engine - Percent Torque,1/21/2014 14:38,Cascadia 113” Day cab,FRCE281QQQQQQQQQQ,Y,1
RG_Corp12,J1939_42,17622665,18264117,2,9,Abnormal update rate,45.558147,-122.7017808,,4880,42,527,Cruise Control States,1/21/2014 14:38,Cascadia 113” Day cab,FRCE281QQQQQQQQQQ,Y,1
RG_Corp12,J1939_42,17624598,18266193,2,19,Received Network Data In Error,45.5581464,-122.7012859,,14750,42,560,Transmission Driveline Engaged,1/21/2014 15:30,Cascadia 125” Sleepercab,FRCE300QQQQQQQQQQ,Y,1
RG_Corp12,J1939_42,17629317,18271226,2,19,Received Network Data In Error,45.6898123,-121.8380031,,29029,42,563,Anti-Lock Braking (ABS) Active,1/21/2014 18:04,Cascadia 125” Sleepercab,FRCE285QQQQQQQQQQ,N,1
RG_Corp12,J1939_42,17629318,18271222,2,12,Bad intelligent device or component,45.6898123,-121.8380031,,29029,42,516499,Undocumented SPN: 516499,1/21/2014 18:04,Cascadia 125” Sleepercab,FRCE285QQQQQQQQQQ,N,1
RG_Corp12,J1939_160,17629320,18271224,2,12,Bad intelligent device or component,45.6898123,-121.8380031,,29029,160,516499,Undocumented SPN: 516499,1/21/2014 18:04,Cascadia 125” Sleepercab,FRCE285QQQQQQQQQQ,N,1
RG_Corp12,J1939_42,17629319,18271225,2,19,Received Network Data In Error,45.6898123,-121.8380031,,29029,42,5606,Adaptive Cruise Control Readiness Status,1/21/2014 18:04,Cascadia 125” Sleepercab,FRCE285QQQQQQQQQQ,N,1
RG_Corp12,J1939_42,17655695,18299743,2,9,Abnormal update rate,45.558536,-122.7016906,,15142,42,516215,Undocumented SPN: 516215,1/22/2014 7:29,Cascadia 125” Sleepercab,FRCE300QQQQQQQQQQ,Y,1
RG_Corp12,J1939_42,17659022,18303279,2,19,Received Network Data In Error,45.5585482,-122.7017351,,15142,42,5606,Adaptive Cruise Control Readiness Status,1/22/2014 8:28,Cascadia 125” Sleepercab,FRCE300QQQQQQQQQQ,Y,1
RG_Corp12,J1939_42,17659023,18303278,2,9,Abnormal update rate,45.5585482,-122.7017351,,15142,42,513,Actual Engine - Percent Torque,1/22/2014 8:28,Cascadia 125” Sleepercab,FRCE300QQQQQQQQQQ,Y,1
RG_Corp12,J1939_42,17663403,18307942,2,19,Received Network Data In Error,45.5579293,-122.702205,,5261,42,516216,Undocumented SPN: 516216,1/22/2014 9:49,Cascadia 113” Day cab,FRCE281QQQQQQQQQQ,Y,1
RG_Corp12,J1939_42,17663404,18307947,2,19,Received Network Data In Error,45.5579293,-122.702205,,5261,42,516217,Undocumented SPN: 516217,1/22/2014 9:49,Cascadia 113” Day cab,FRCE281QQQQQQQQQQ,Y,1
RG_Corp12,J1939_42,17663405,18307946,2,19,Received Network Data In Error,45.5579293,-122.702205,,5261,42,516221,Undocumented SPN: 516221,1/22/2014 9:49,Cascadia 113” Day cab,FRCE281QQQQQQQQQQ,Y,1
RG_Corp12,J1939_42,17663406,18307945,2,19,Received Network Data In Error,45.5579293,-122.702205,,5261,42,516222,Undocumented SPN: 516222,1/22/2014 9:49,Cascadia 113” Day cab,FRCE281QQQQQQQQQQ,Y,1
RG_Corp12,J1939_160,17663407,18307943,2,19,Received Network Data In Error,45.5579293,-122.702205,,5261,160,516226,Undocumented SPN: 516226,1/22/2014 9:50,Cascadia 113” Day cab,FRCE281QQQQQQQQQQ,Y,1
RG_Corp12,J1939_42,17663794,18308364,2,19,Received Network Data In Error,45.5579293,-122.702205,,5261,42,5606,Adaptive Cruise Control Readiness Status,1/22/2014 9:54,Cascadia 113” Day cab,FRCE281QQQQQQQQQQ,Y,1
RG_Corp12,J1939_160,17681482,18326963,2,19,Received Network Data In Error,45.5646874,-122.5769541,,17856,160,523,Transmission Current Gear,1/22/2014 16:38,Cascadia 125” Sleepercab,FRCE308QQQQQQQQQQ,N,1
RG_Corp12,J1939_160,17774085,18426224,2,19,Received Network Data In Error,45.5628782,-122.6615222,,18777,160,523,Transmission Current Gear,1/24/2014 10:12,Cascadia 125” Sleepercab,FRCE308QQQQQQQQQQ,N,1
RG_Corp12,J1939_160,17865018,18523391,2,19,Received Network Data In Error,45.5264901,-122.6619111,,20151,160,523,Transmission Current Gear,1/27/2014 1:10,Cascadia 125” Sleepercab,FRCE308QQQQQQQQQQ,N,1
RG_Corp12,J1939_42,17940222,18604645,2,9,Abnormal update rate,45.5585264,-122.7007794,,34052,42,513,Actual Engine - Percent Torque,1/28/2014 7:45,Cascadia 125” Sleepercab,FRCE285QQQQQQQQQQ,Y,1
RG_Corp12,J1939_42,17940225,18604644,2,9,Abnormal update rate,45.5585264,-122.7007794,,34052,42,516215,Undocumented SPN: 516215,1/28/2014 7:45,Cascadia 125” Sleepercab,FRCE285QQQQQQQQQQ,Y,1
RG_Corp12,J1939_42,17940223,18604639,2,9,Abnormal update rate,45.5585264,-122.7007794,,34052,42,527,Cruise Control States,1/28/2014 7:45,Cascadia 125” Sleepercab,FRCE285QQQQQQQQQQ,Y,1
RG_Corp12,J1939_42,17940224,18604643,2,9,Abnormal update rate,45.5585264,-122.7007794,,34052,42,560,Transmission Driveline Engaged,1/28/2014 7:45,Cascadia 125” Sleepercab,FRCE285QQQQQQQQQQ,Y,1
RG_Corp12,J1939_42,17946117,18610935,2,19,Received Network Data In Error,45.5582136,-122.7020237,,15142,42,560,Transmission Driveline Engaged,1/28/2014 9:30,Cascadia 125” Sleepercab,FRCE300QQQQQQQQQQ,Y,1
RG_Corp12,J1939_42,17947078,18611947,2,19,Received Network Data In Error,45.5582081,-122.7020957,,15142,42,5606,Adaptive Cruise Control Readiness Status,1/28/2014 9:49,Cascadia 125” Sleepercab,FRCE300QQQQQQQQQQ,Y,1
RG_Corp12,J1939_160,17947515,18612411,2,19,Received Network Data In Error,45.5582081,-122.7020957,,15142,160,521,Brake Pedal Position,1/28/2014 9:51,Cascadia 125” Sleepercab,FRCE300QQQQQQQQQQ,Y,1
RG_Corp12,J1939_42,17947517,18612412,2,19,Received Network Data In Error,45.5582081,-122.7020957,,15142,42,5606,Adaptive Cruise Control Readiness Status,1/28/2014 9:51,Cascadia 125” Sleepercab,FRCE300QQQQQQQQQQ,Y,1
RG_Corp12,J1939_42,17947518,18612414,2,19,Received Network Data In Error,45.5581926,-122.7020556,,15142,42,560,Transmission Driveline Engaged,1/28/2014 9:56,Cascadia 125” Sleepercab,FRCE300QQQQQQQQQQ,Y,1
RG_Corp12,J1939_42,17948368,18613324,2,19,Received Network Data In Error,45.5581692,-122.7021434,,15142,42,5606,Adaptive Cruise Control Readiness Status,1/28/2014 10:06,Cascadia 125” Sleepercab,FRCE300QQQQQQQQQQ,Y,1
RG_Corp12,J1939_42,17950561,18615679,2,19,Received Network Data In Error,45.5582597,-122.702107,,15142,42,560,Transmission Driveline Engaged,1/28/2014 10:53,Cascadia 125” Sleepercab,FRCE300QQQQQQQQQQ,Y,1
